,frame_number,temp
0,2,26.5
1,3,26.5
2,4,26.5
3,5,26.5
4,6,26.5
5,7,26.5
6,8,26.5
7,9,26.5
8,10,26.4
9,11,26.5
10,12,26.4
11,13,
12,14,26.5
13,15,26.4
14,16,26.4
15,17,26.4
16,18,26.5
17,19,26.5
18,20,26.4
19,21,26.4
20,22,26.4
21,23,26.4
22,24,26.4
23,25,
24,26,26.4
25,27,26.4
26,28,26.4
27,29,26.4
28,30,26.3
29,31,26.3
30,32,26.3
31,33,26.3
32,34,26.3
33,35,26.3
34,36,26.3
35,37,26.3
36,38,26.3
37,39,
38,40,26.3
39,41,26.3
40,42,26.3
41,43,26.3
42,44,26.3
43,45,
44,46,26.3
45,47,26.3
46,48,26.3
47,49,26.3
48,50,26.2
49,51,26.3
50,52,26.3
51,53,
52,54,26.3
53,55,26.3
54,56,
55,57,
56,58,26.2
57,59,26.2
58,60,26.3
59,61,26.3
60,62,26.2
61,63,26.3
62,64,26.1
63,65,26.1
64,66,26.2
65,67,26.3
66,68,26.5
67,69,26.5
68,70,26.4
69,71,26.4
70,72,26.4
71,73,26.4
72,74,26.5
73,75,26.5
74,76,26.5
75,77,26.4
76,78,26.5
77,79,26.4
78,80,26.4
79,81,26.4
80,82,
81,83,
82,84,26.4
83,85,26.4
84,86,26.4
85,87,26.4
86,88,26.4
87,89,26.4
88,90,26.4
89,91,26.4
90,92,26.4
91,93,26.4
92,94,26.4
93,95,26.4
94,96,26.4
95,97,26.4
96,98,26.4
97,99,26.4
98,100,26.4
99,101,26.4
100,102,26.4
101,103,26.4
102,104,26.4
103,105,26.4
104,106,26.4
105,107,26.4
106,108,26.4
107,109,26.4
108,110,26.4
109,111,
110,112,26.4
111,113,26.4
112,114,26.4
113,115,26.4
114,116,26.4
115,117,26.4
116,118,26.4
117,119,26.4
118,120,26.5
119,121,26.4
120,122,26.4
121,123,26.4
122,124,26.4
123,125,26.4
124,126,
