,frame_number,temp
0,2,31.9
1,3,31.9
2,4,32
3,5,31.9
4,6,32
5,7,32.1
6,8,32
7,9,32
8,10,32
9,11,32
10,12,32.1
11,13,32.1
12,14,32.2
13,15,32.2
14,16,32.2
15,17,32.2
16,18,32.2
17,19,32.2
18,20,32.2
19,21,32.2
20,22,32.2
21,23,
22,24,
23,25,
24,26,
25,27,32.4
26,28,32.4
27,29,32.4
28,30,32.4
29,31,32.4
30,32,32.4
31,33,32.4
32,34,32.4
33,35,32.5
34,36,32.5
35,37,32.5
36,38,32.5
37,39,32.5
38,40,32.5
39,41,32.5
40,42,32.5
41,43,32.5
42,44,32.5
43,45,32.5
44,46,32.6
45,47,32.6
46,48,32.6
47,49,32.6
48,50,32.6
49,51,32.6
50,52,32.6
51,53,32.6
52,54,32.5
53,55,32.6
54,56,32.6
55,57,32.6
56,58,32.5
57,59,32.5
58,60,32.5
59,61,32.5
60,62,32.5
61,63,32.5
62,64,32.5
63,65,32.5
64,66,32.5
65,67,32.5
66,68,32.5
67,69,32.5
68,70,32.5
69,71,32.5
70,72,32.5
71,73,32.5
72,74,32.5
73,75,32.5
74,76,32.5
75,77,32.5
76,78,32.5
77,79,32.5
78,80,32.4
79,81,32.7
80,82,32.6
81,83,32.5
82,84,32.7
83,85,32.6
84,86,32.8
85,87,32.7
86,88,32.7
87,89,32.7
88,90,32.6
89,91,32.6
90,92,32.6
91,93,32.6
92,94,32.7
93,95,32.7
94,96,32.6
95,97,32.6
96,98,32.6
97,99,32.5
98,100,32.5
99,101,32.5
100,102,32.4
101,103,32.4
102,104,32.4
103,105,32.4
104,106,32.4
105,107,32.5
106,108,32.5
107,109,32.5
108,110,32.5
109,111,32.6
110,112,32.6
111,113,32.6
112,114,32.6
113,115,32.6
114,116,32.5
115,117,32.5
116,118,32.5
117,119,32.5
118,120,32.5
119,121,32.5
120,122,32.5
121,123,32.4
122,124,32.4
123,125,32.4
124,126,32.4
125,127,32.4
126,128,32.4
127,129,32.4
128,130,32.4
129,131,32.4
130,132,32.4
131,133,32.4
132,134,32.4
133,135,32.4
134,136,32.4
135,137,32.4
136,138,32.4
137,139,32.4
138,140,32.4
139,141,32.4
140,142,32.4
141,143,32.4
142,144,32.4
143,145,32.4
144,146,32.4
145,147,32.3
146,148,32.3
147,149,32.3
148,150,32.3
149,151,32.3
150,152,32.3
151,153,32.2
152,154,32.2
153,155,32.2
154,156,32.2
155,157,32.2
156,158,32.2
157,159,32.2
158,160,32.2
159,161,32.2
160,162,32.2
161,163,32.2
162,164,32.2
163,165,32.2
164,166,32.2
165,167,32.2
166,168,32.2
167,169,32.2
168,170,32.2
169,171,32.2
170,172,32.2
171,173,32.2
172,174,32.2
173,175,32.2
174,176,32.2
