,frame_number,temp
0,2,33.7
1,3,33.8
2,4,33.7
3,5,33.7
4,6,33.7
5,7,33.7
6,8,33.7
7,9,33.3
8,10,33.7
9,11,33.3
10,12,33.7
11,13,33.7
12,14,33.7
13,15,33.7
14,16,33.7
15,17,33.7
16,18,33.7
17,19,33.7
18,20,33.7
19,21,33.7
20,22,33.7
21,23,33.6
22,24,33.6
23,25,33.6
24,26,33.6
25,27,33.6
26,28,33.6
27,29,33.7
28,30,33.6
29,31,33.6
30,32,33.6
31,33,33.7
32,34,33.6
33,35,33.6
34,36,33.6
35,37,33.6
36,38,33.6
37,39,33.6
38,40,33.7
39,41,33.7
40,42,33.7
41,43,33.7
42,44,33.7
43,45,33.6
44,46,33.6
45,47,33.7
46,48,33.6
47,49,33.6
48,50,33.6
49,51,33.6
50,52,33.6
51,53,33.7
52,54,33.7
53,55,33.7
54,56,33.6
55,57,33.7
56,58,33.7
57,59,33.7
58,60,33.7
59,61,33.7
60,62,33.8
61,63,33.7
62,64,33.5
63,65,33.4
64,66,33.5
65,67,33.5
66,68,33.5
67,69,33.5
68,70,33.3
69,71,33.3
70,72,33.3
71,73,33.4
72,74,33.5
73,75,33.4
74,76,33.4
75,77,33.4
76,78,33.4
77,79,33.4
78,80,33.4
79,81,33.4
80,82,33.4
81,83,33.4
82,84,33.4
83,85,33.4
84,86,33.5
85,87,33.4
86,88,33.4
87,89,33.4
88,90,33.4
89,91,33.3
90,92,33.3
91,93,33.3
92,94,33.3
93,95,33.3
94,96,33.2
95,97,33.2
96,98,33.2
97,99,33.2
98,100,33.3
99,101,33.3
100,102,33.3
101,103,33.3
102,104,33.2
103,105,33.3
104,106,33.3
105,107,33.3
106,108,33.3
107,109,33.3
108,110,33.3
109,111,33.2
110,112,33.3
111,113,33.3
112,114,33.3
113,115,33.3
114,116,33.2
115,117,33.2
116,118,33.3
117,119,33.3
118,120,33.2
119,121,33.3
120,122,33.3
121,123,33.3
122,124,33.3
123,125,33.3
124,126,33.3
125,127,33.3
