,frame_number,temp
0,2,33
1,3,33
2,4,33.2
3,5,
4,6,33.17
5,7,33.2
6,8,33.17
7,9,33.17
8,10,33.17
9,11,33.17
10,12,33.2
11,13,33.2
12,14,33.2
13,15,33.2
14,16,33.3
15,17,33.3
16,18,33.3
17,19,33.4
18,20,33.3
19,21,33.3
20,22,33.9
21,23,33.3
22,24,33.3
23,25,33.3
24,26,33.3
25,27,33.2
26,28,33.2
27,29,33.2
28,30,33.17
29,31,
30,32,
31,33,
32,34,33.17
33,35,33.17
34,36,33.17
35,37,33.17
36,38,33.17
37,39,33.17
38,40,
39,41,
40,42,
41,43,
42,44,33.1
43,45,
44,46,33.1
45,47,33.1
46,48,
47,49,33.1
48,50,33.17
49,51,
50,52,
51,53,
52,54,33.17
53,55,33.17
54,56,33.17
55,57,33.17
56,58,33.17
57,59,33.17
58,60,33.17
59,61,33
60,62,4
61,63,32.9
62,64,32.8
63,65,32.7
64,66,32.7
65,67,32.8
66,68,32.8
67,69,32.7
68,70,32.8
69,71,32.8
70,72,32.7
71,73,32.8
72,74,32.7
73,75,32.7
74,76,32.7
75,77,32.7
76,78,32.7
77,79,32.7
78,80,32.8
79,81,32.7
80,82,32.7
81,83,32.6
82,84,32.6
83,85,32.6
84,86,32.6
85,87,32.6
86,88,32.6
87,89,32.6
88,90,32.6
89,91,32.6
90,92,32.6
91,93,32.6
92,94,32.6
93,95,32.6
94,96,32.7
95,97,32.6
96,98,32.6
97,99,32.6
98,100,32.6
99,101,32.6
100,102,32.6
101,103,32.6
102,104,32.6
103,105,32.6
104,106,32.6
105,107,32.6
106,108,32.6
107,109,32.6
108,110,32.6
109,111,32.6
110,112,32.6
111,113,32.6
112,114,32.6
113,115,32.6
114,116,32.6
115,117,32.6
116,118,32.6
117,119,32.6
118,120,32.6
119,121,32.6
120,122,32.6
121,123,32.6
122,124,32.5
123,125,32.6
124,126,32.6
125,127,32.5
126,128,32.5
