,frame_number,temp
0,2,32.6
1,3,32.7
2,4,32.7
3,5,32.6
4,6,32.7
5,7,32.7
6,8,32.7
7,9,32.7
8,10,32.7
9,11,32.7
10,12,32.7
11,13,32.7
12,14,32.7
13,15,32.7
14,16,32.8
15,17,32.8
16,18,32.8
17,19,32.8
18,20,32.8
19,21,32.8
20,22,32.7
21,23,32.7
22,24,32.7
23,25,32.7
24,26,32.8
25,27,32.8
26,28,32.8
27,29,32.8
28,30,32.8
29,31,32.8
30,32,32.8
31,33,32.8
32,34,32.7
33,35,32.7
34,36,32.7
35,37,32.7
36,38,32.7
37,39,32.7
38,40,32.7
39,41,32.8
40,42,32.7
41,43,32.8
42,44,32.8
43,45,32.8
44,46,32.8
45,47,32.8
46,48,32.8
47,49,32.8
48,50,32.8
49,51,32.9
50,52,32.8
51,53,32.8
52,54,32.8
53,55,32.6
54,56,32.7
55,57,32.6
56,58,32.6
57,59,32.8
58,60,32.9
59,61,33
60,62,32.9
61,63,32.8
62,64,
63,65,32.8
64,66,32.8
65,67,32.8
66,68,32.8
67,69,32.8
68,70,32.8
69,71,32.8
70,72,32.8
71,73,32.8
72,74,32.8
73,75,32.8
74,76,32.8
75,77,32.8
76,78,32.8
77,79,32.8
78,80,32.8
79,81,32.8
80,82,32.8
81,83,32.8
82,84,32.8
83,85,32.8
84,86,32.8
85,87,32.8
86,88,32.8
87,89,32.8
88,90,32.8
89,91,32.7
90,92,32.8
91,93,32.8
92,94,32.7
93,95,32.8
94,96,32.8
95,97,32.8
96,98,32.8
97,99,32.8
98,100,32.8
99,101,32.8
100,102,32.8
101,103,32.8
102,104,32.8
103,105,32.8
104,106,32.8
105,107,32.8
106,108,32.8
107,109,32.8
108,110,32.8
109,111,32.9
110,112,32.8
111,113,32.9
